Txn_Hash, Method, Block, Age, Value, Txn_Fee 
0xa5e08f80e3bfb845f8833a12f870382921719eb79fb158b833dac7035236288b,Deposit,22421058,10 secs ago,0.077628712026548 BNB,0
0xa371c94cb975cd0ae81c30ec7e845b3e24d466442c11baeb47c486df54e9303f,Swap Exact ETH F...,22421058,10 secs ago,1.084096621246963 BNB,0.00053533
0x14d771bb7a1f46f9249b266605a9c5f2c6176302222fcc151269f1edeafa2f75,Swap Exact Token...,22421058,10 secs ago,0 BNB,0.00124439
0x2f3699940f0b92473c9fc7bef5e2186ed84c7ac1d6f89d061eb9f41fd78769ff,On Borrow,22421058,10 secs ago,0 BNB,0.00053436
0xa682a96509615881bf3edcdbd726b3dc3058b03eb277678a9a6be2d41aea3b57,Run,22421058,10 secs ago,0.1 BNB,0.00229935
0xa1298a747af7d44900f7de2dde968d6fb107736faf27b5d9ba45793ae9428074,0xf3dd259a,22421058,10 secs ago,0 BNB,0.00061261
0x2c0ddc3794e1609fb89f847cb66f56cc64ce70eaf775d8f4ea323fc23b95a41d,Claim,22421058,10 secs ago,0 BNB,0.00121224
0x729426f7de05288e009701810fa3d18caddb0db4a7df163eb6d0da1e0a38a890,Sign In,22421058,10 secs ago,0 BNB,0.00023876
0x5d16c18c1014ce6d1ba89058199acb0d61dd4d05414824556867dd418f175945,Claim,22421058,10 secs ago,0 BNB,0.00043285
0x200ad9000b2779e1216ffdfafdabd14e500cbdae2b6dbc1b0e59c6344e997392,Transfer*,22421058,10 secs ago,0 BNB,0.000159
0x65c0a68f28e1916b9eb685688656a96f810a61efc7517676421c10a3f69877a8,User Sign In,22421058,10 secs ago,0 BNB,0.00021056
0xaa223bf3b0a63ca33006a70428334682228e3e8c596f87851c76b4fcbd527f5c,Set Delegate,22421058,10 secs ago,0 BNB,0.00023031
0x4a3a5dfe290c1d21cdad748ef7c03ca2e6f67381f9a325e3eac658e172c461f4,Transfer,22421058,10 secs ago,0 BNB,0.00018069
0x8b60c44acb08b366f6ab5c71dd3d44895f481e61c1c7e2376748c93ad84f53c7,Withdrawrefbonus,22421058,10 secs ago,0 BNB,0.00020263
0x75a6bea48bce7234e636d74e51fd28615f3c84491783e9f13bd787b41024b4ac,Transfer,22421058,10 secs ago,0 BNB,0.00018069
0x8e9f0460ab0eaadd38375212f1de4b2fc3a7d6cf457fb476c1af158b7059aeb2,Transfer,22421058,10 secs ago,0 BNB,0.00018069
0xb026e9e11a1c5fbce483c00b8f02626a8d2d06d578b2002e560f7778ecda5c97,Checkin,22421058,10 secs ago,0 BNB,0.00038563
0x34c18038c9a20d2d5360e65111f0a07ce78cffd0c0e2af9cdc9403398ece48c3,Transfer,22421058,10 secs ago,0 BNB,0.00018069
0x455e5b274e141f093b24fc0d792c7150a1eba272ef67cb42b774db82003896a8,Transfer,22421058,10 secs ago,0 BNB,0.00018069
0x4de5f4840650db55b46a3ee56b8562768f8888cfcde7a31802602292fac31cb7,Transfer,22421058,10 secs ago,0 BNB,0.00018069
0xd93b3527ffada7f63e5485125caa170743266b8a3a72a7a04e62b59e6098515c,Transfer,22421058,10 secs ago,0 BNB,0.00018069
0x4f4a42c5d35116cbb761c850004ed66ded4566847a8116065aaa83c445f24e82,Transfer,22421058,10 secs ago,0 BNB,0.00018069
0xee03bef2892f916ca7c93e8abd0c5634de33594c3125f51d8ba6abac2f2709a6,Transfer,22421058,10 secs ago,0 BNB,0.00018063
